序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
2053,920046,亿能电力,33.22,16.1538,1,1,22723561.82,15060120.11,7663441.71,675663200,1.134210315139,37.4343,18.58,当日换手率达到20%的前5只股票,2026-03-04
2054,002388,新亚制程,6.16,-4.3478,4,2,75643533.74,68044028.27,7599505.47,1425504182,0.533110008793,42.7983,31.18,日换手率达到20%的前5只证券,2026-05-27
2055,603163,圣晖集成,101.59,10.0054,1,1,16103861.0,8560258.92,7543602.08,478169803,1.577599010367,4.914,101.59,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2026-01-27
2056,000890,法尔胜,8.87,10.0496,3,4,365099583.99,357639446.92,7460137.07,3177758047,0.234761015775,27.9174,37.21,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-03-04
2057,920046,亿能电力,28.08,6.1626,1,1,18444778.9,10987556.15,7457222.75,478947100,1.557003424804,30.1339,15.7,当日换手率达到20%的前5只股票,2026-02-12
2058,603516,淳中科技,161.68,-9.9978,1,0,7453448.0,0.0,7453448.0,177152776,4.20735602811,0.539,328.64,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-01-28
2059,920564,天润科技,34.93,29.9963,1,1,14674231.1,7271965.26,7402265.84,441326500,1.677276537892,35.0181,14.14,当日收盘价涨幅达到20%的前5只股票,2026-01-12
2060,920564,天润科技,34.93,29.9963,1,1,14674231.1,7271965.26,7402265.84,441326500,1.677276537892,35.0181,14.14,当日换手率达到20%的前5只股票,2026-01-12
2061,002289,宇顺电子,40.52,-4.9941,4,2,83433603.45,76060425.0,7373178.45,607267066,1.214157470875,0.8184,111.2,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2026-05-19
2062,920100,三协电机,66.91,17.0164,1,0,8728283.92,1394688.14,7333595.78,522200500,1.40436399046,40.9781,13.09,当日价格振幅达到30%的前5只股票,2026-05-15
2063,920100,三协电机,66.91,17.0164,1,0,8728283.92,1394688.14,7333595.78,522200500,1.40436399046,40.9781,13.09,当日换手率达到20%的前5只股票,2026-05-15
2064,600208,衢州发展,4.4,-10.0204,1,0,7307520.0,0.0,7307520.0,69528360,10.510128528848,0.1857,374.35,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-05-18
2065,002012,凯恩股份,8.69,-9.9482,4,2,69353589.0,62047559.0,7306030.0,762889671,0.957678453088,18.6126,40.64,日跌幅偏离值达到7%的前5只证券,2026-05-28
2066,920096,嘉晨智能,102.35,15.1553,1,1,19925177.53,12636607.88,7288569.65,981916000,0.742280363086,61.4581,16.58,当日换手率达到20%的前5只股票,2026-05-20
2067,688156,路德科技,24.22,19.9604,1,0,7276429.64,0.0,7276429.64,213949700,3.401000160318,9.5431,24.39,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-03-30
2068,920078,族兴新材,32.1,-10.5351,1,0,8861376.3,1655635.05,7205741.25,250350800,2.878257728755,35.6348,6.64,当日换手率达到20%的前5只股票,2026-05-29
